Name,Link,Area,State Served,Other Limitation,Overview,Grant Guidelines,Foundation Information
Arthur F. and Alice E. Adams Charitable Foundation,https://www.wellsfargo.com/private-foundations/adams-charitable-foundation,"Arts, Culture and Humanities; Education",Florida                New York                Tennessee,"There are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in Memphis, Tennessee; Miami, Florida; or New York City, New York.",,,
Adams Mastrovich Family Foundation,https://www.wellsfargo.com/private-foundations/adams-mastrovich-family-foundation,"Arts, Culture and Humanities; Education; Health; Human Services; Religion",California                South Dakota,"There are no program or geographic limitations; however, it is the donor’s desire the trust primarily support organizations located in or serving citizens of Los Angeles County, California, and South Dakota.",,,
Lucille Drinkwater Allen Trust,https://www.wellsfargo.com/private-foundations/allen-trust-lucille-drinkwater,"Environment, Animals",Colorado,Limited to support for qualified organizations that provide care for animals.,,,
The Andres Memorial Trust,https://www.wellsfargo.com/private-foundations/andres-memorial-trust,Health; Human Services; Public/Society Benefit,Iowa,"Grants are limited to capital needs of specific organizations named by the grantors, as well as hospitals, facilities for medical research, facilities for the treatment of diseases or afflictions of aging persons, homes for the aged, and homes for the indigent located in Floyd County, Iowa.",,,
The Anna Fuller Fund,https://www.wellsfargo.com/private-foundations/anna-fuller-fund,Health,All,"The Trust provides grants to organizations that alleviate people’s suffering from cancer through 1.) Research as to its cause, treatment and care, and the 2.) Education of the public as to its prevention and treatment. Funds cannot be used for the actual treatment of persons suffering with cancer except as incidental to cancer research and/or education.",,,
Nina Heard Astin Charitable Trust,https://www.wellsfargo.com/private-foundations/astin-charitable-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Religion",Texas,"There are no program or geographic limitations; however, the trust primarily supports organizations located in Texas.",,,
Atlanta Foundation,https://www.wellsfargo.com/private-foundations/atlanta-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Human Services; Public/Society Benefit; Religion; Health",Georgia,"Grants to organizations in Fulton County or DeKalb County, Georgia",,,
Eric A. Baade and Mary C. Baade Charitable Purposes Trust,https://www.wellsfargo.com/private-foundations/baade-charitable-purposes-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Religion",Indiana,"Supports a variety of charitable purposes, primarily in Allen County, Indiana.",,,
Lillie I. W. Baker Trust ,https://www.wellsfargo.com/private-foundations/baker-trust,Human Services; Health,Pennsylvania,Limited to qualifying hospitals to help defray the cost of private hospital rooms for indigent patients.,,,
Dr. Hildegard H. Balin Charitable Trust,https://www.wellsfargo.com/private-foundations/balin-charitable-trust,"Human Services; Health; Environment, Animals",California,"Grants are made to serve the needs of the financially-at-risk and elderly residents and to promote the welfare of dogs in Santa Barbara County, California.",,,
